ZCTA5,ZIP,households_by_type-total_households,relationship-population_in_households,marital_status-population_males_15_years_and_over,marital_status-population_females_15_years_and_over,grandparents-population-grandparents_living_with_own_grandchildren_under_18_years,educational_attainment-population-population_25_years_and_over,veteran_status-population-civilian_population_18_years_and_over,residence_1_year_ago-population-population_1_year_and_over,place_of_birth-population-total_population,ancestry-population-total_population,computers_and_internet_use-households-total_households
,,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
48886,48886,852,2061,944,799,33,1530,1688,2039,2061,2061,0
48888,48888,2362,5876,2421,2525,60,4249,4732,5957,6035,6035,0
48889,48889,523,1278,544,527,22,907,1004,1271,1278,1278,0
48890,48890,787,1994,796,840,7,1453,1554,1974,1999,1999,0
48891,48891,1099,2918,1205,1245,58,2079,2348,2906,2928,2928,0
48892,48892,1665,4798,1776,1814,108,3058,3428,4677,4799,4799,0
48893,48893,2003,5277,2120,2073,82,3743,4041,5231,5290,5290,0
48894,48894,651,1932,708,702,13,1199,1311,1889,1932,1932,0
48895,48895,4495,11148,4455,4767,84,7975,8759,11098,11194,11194,0
48896,48896,53,226,57,79,29,107,128,201,226,226,0
48897,48897,594,1487,616,646,2,959,1148,1476,1487,1487,0
48906,48906,10404,25914,10222,10221,581,17355,19439,25655,26115,26115,0
48910,48910,15795,35123,13461,15575,552,22685,28061,34989,35338,35338,0
48911,48911,15594,38825,13553,16554,1147,24367,28458,38468,39063,39063,0
48912,48912,7708,17424,7335,7594,298,11587,14390,17421,17646,17646,0
48915,48915,3559,9477,3662,3752,291,5672,6960,9502,9580,9580,0
48917,48917,14308,31926,12985,14217,539,22932,26051,31880,32205,32205,0
48921,48921,0,0,0,0,0,0,0,0,0,0,0
48933,48933,1612,2386,1284,924,14,1658,2202,2378,2392,2392,0
49001,49001,8947,21998,8558,8890,328,14091,16467,22287,22552,22552,0
49002,49002,8342,20456,8158,8417,367,13631,15872,20446,20584,20584,0
49004,49004,6112,15744,5780,6707,323,10584,11926,15579,15828,15828,0
49006,49006,10037,23915,12506,13136,241,11188,25065,28387,28517,28517,0
49007,49007,4433,9951,4847,3898,216,5954,8258,10382,10441,10441,0
49008,49008,6574,14610,6655,7030,107,9970,13204,16080,16182,16182,0
49009,49009,18357,44266,17280,19319,392,28694,35138,44281,44653,44653,0
49010,49010,6660,17164,7265,6988,388,11888,13589,17308,17523,17523,0
49011,49011,801,2172,826,938,101,1524,1662,2170,2172,2172,0
49012,49012,1351,3200,1366,1418,19,2285,2614,3188,3246,3246,0
49013,49013,1933,5416,2130,2105,163,3577,3995,5469,5560,5560,0
49014,49014,8269,20538,8626,8883,401,14903,16632,21213,21386,21386,0
49015,49015,11023,26785,10645,11000,334,18096,20394,26655,26920,26920,0
49017,49017,8673,21493,8463,9544,404,15024,16964,21785,21947,21947,0
49021,49021,2543,6471,2616,2708,212,4560,5079,6467,6514,6514,0
49022,49022,12552,31102,11232,13019,704,20208,22874,30946,31498,31498,0
49024,49024,11635,28631,10494,12232,446,19227,21711,28151,28651,28651,0
49026,49026,900,2056,1122,918,20,1801,1929,2352,2364,2364,0
49027,49027,48,148,67,45,6,103,106,148,148,148,0
49028,49028,2382,6347,2591,2525,70,4161,4757,6329,6422,6422,0
49029,49029,576,1535,548,675,33,1059,1177,1512,1535,1535,0
49030,49030,821,2693,878,985,70,1576,1738,2638,2693,2693,0
49031,49031,2957,7324,3092,3315,221,5192,5972,7436,7469,7469,0
49032,49032,1053,2987,1281,1399,70,2206,2506,3234,3263,3263,0
49033,49033,575,1452,620,623,22,1087,1198,1452,1452,1452,0
49034,49034,1021,2590,1121,985,18,1815,1984,2576,2596,2596,0
49036,49036,8635,21249,10248,8989,262,16662,18482,23119,23380,23380,0
49037,49037,8701,20635,8161,8617,433,13931,15694,20875,21337,21337,0
49038,49038,3864,9126,3807,3896,207,6491,7170,9122,9193,9193,0
49040,49040,1319,3137,1165,1325,62,2146,2394,3111,3137,3137,0
49042,49042,1906,4710,1925,1938,86,3428,3728,4660,4710,4710,0
49043,49043,889,2469,887,1090,95,1653,1885,2433,2501,2501,0
49045,49045,1940,5028,1955,2260,147,3514,3920,5212,5253,5253,0
49046,49046,3192,7591,3252,3054,151,5604,6014,7479,7606,7606,0
49047,49047,5779,14012,5855,5716,276,9754,11034,14010,14238,14238,0
49048,49048,9928,25034,9747,10602,454,15888,19275,25000,25352,25352,0
49050,49050,567,1457,560,531,5,1019,1070,1455,1457,1457,0
49051,49051,972,2751,939,1145,5,1879,2030,2715,2755,2755,0
49052,49052,355,886,357,366,13,671,709,887,890,890,0
49053,49053,2677,6916,2696,2841,78,4598,5127,7003,7073,7073,0
49055,49055,2369,6129,2551,2541,86,4310,4814,6086,6172,6172,0
49056,49056,1292,3313,1467,1410,59,2369,2621,3433,3449,3449,0
49057,49057,2289,6953,2640,2636,211,4178,5003,6882,6982,6982,0
49058,49058,7481,18716,7479,8091,347,13526,14700,18856,19036,19036,0
49060,49060,728,1786,632,855,34,1305,1390,1777,1800,1800,0
49061,49061,624,1661,685,641,37,1171,1271,1659,1661,1661,0
49064,49064,1395,3584,1445,1435,109,2499,2713,3567,3623,3623,0
49065,49065,2484,6397,2624,2605,116,4319,5001,6388,6431,6431,0
49066,49066,238,656,296,261,15,478,507,658,665,665,0
49067,49067,1667,4406,1848,1814,108,3040,3442,4331,4406,4406,0
49068,49068,5980,14320,5668,6259,174,10435,11452,14443,14584,14584,0
49070,49070,903,2405,924,967,29,1530,1774,2377,2405,2405,0
49071,49071,3290,9504,3381,3894,87,6146,6713,9515,9632,9632,0
49072,49072,1197,3335,1412,1280,85,2195,2516,3300,3351,3351,0
49073,49073,1764,4761,1963,1942,114,3236,3713,4762,4784,4784,0
49074,49074,69,96,24,151,0,150,165,175,175,175,0
49075,49075,29,114,48,29,0,60,68,103,114,114,0
49076,49076,1404,3850,1850,1817,79,2563,3388,4415,4433,4433,0
49078,49078,3582,9119,3447,3962,94,6363,7005,9019,9140,9140,0
49079,49079,5160,12970,5434,5507,154,9327,10358,13002,13127,13127,0
49080,49080,5958,15662,6550,6698,190,11031,12422,16126,16244,16244,0
49082,49082,2290,6186,2419,2428,130,4090,4517,6119,6192,6192,0
49083,49083,2899,7706,3086,3270,83,5352,5893,7556,7706,7706,0
49084,49084,7,39,8,15,16,23,23,39,39,39,0
49085,49085,9887,22449,9605,9931,187,16939,18562,22865,23049,23049,0
49087,49087,2358,6346,2729,2543,40,4163,4948,6322,6363,6363,0
49088,49088,1256,3299,1400,1223,6,2199,2523,3293,3313,3313,0
49089,49089,623,1578,680,660,21,1180,1280,1561,1578,1578,0
49090,49090,5985,13648,5620,5877,259,9967,10897,13762,13898,13898,0
49091,49091,7598,19343,7363,7664,360,12568,14292,19189,19500,19500,0
49092,49092,755,2033,738,828,29,1363,1477,1997,2033,2033,0
49093,49093,7030,17764,7234,7318,421,12347,13702,17783,18021,18021,0
49094,49094,1654,4278,1720,1769,82,2933,3314,4241,4285,4285,0
49095,49095,842,2136,926,849,26,1516,1659,2111,2136,2136,0
49096,49096,1197,3357,1307,1223,68,2163,2428,3300,3357,3357,0
49097,49097,4047,10745,4196,4334,278,7266,8068,10623,10760,10760,0
49098,49098,2473,5975,2332,2556,146,4206,4632,5984,6093,6093,0
49099,49099,2129,5587,2320,2304,100,3858,4350,5574,5606,5606,0
49101,49101,1276,3003,1207,1267,45,2199,2358,2995,3008,3008,0
49102,49102,568,1495,640,682,0,1163,1271,1542,1553,1553,0
49103,49103,3352,8957,4858,4565,166,7688,9122,11083,11189,11189,0
49104,49104,0,0,347,516,0,0,855,863,863,863,0
