ZCTA5,ZIP,households_by_type-total_households,relationship-population_in_households,marital_status-population_males_15_years_and_over,marital_status-population_females_15_years_and_over,grandparents-population-grandparents_living_with_own_grandchildren_under_18_years,educational_attainment-population-population_25_years_and_over,veteran_status-population-civilian_population_18_years_and_over,residence_1_year_ago-population-population_1_year_and_over,place_of_birth-population-total_population,ancestry-population-total_population,computers_and_internet_use-households-total_households
,,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
601,601,5959,17729,6988,7484,216,11887,13670,17749,17800,17800,0
602,602,12785,39626,16159,17001,1277,27546,31452,39224,39716,39716,0
603,603,18828,49609,20546,22150,1370,35589,40498,51258,51565,51565,0
606,606,1975,6302,2581,2723,181,4381,5038,6320,6320,6320,0
610,610,9210,27859,11080,12164,1071,19237,22034,27692,27976,27976,0
612,612,22931,63234,24295,28415,1556,43466,50003,63278,63884,63884,0
616,616,3499,10267,4217,4735,435,7711,8617,10168,10321,10321,0
617,617,8334,24612,9363,10682,1121,16605,18986,24449,24648,24648,0
622,622,2503,7336,2835,3353,264,5251,5887,7344,7385,7385,0
623,623,14627,42626,16743,18792,1280,29783,33741,42441,42711,42711,0
624,624,7922,23845,9181,9887,1199,15552,18038,23597,23945,23945,0
627,627,11816,33372,13205,14535,821,22880,26285,33196,33481,33481,0
631,631,648,1689,724,727,48,1284,1398,1689,1689,1689,0
637,637,7413,23844,9182,10584,683,16405,18722,23779,24013,24013,0
638,638,6000,17778,6940,7488,577,11951,13727,17619,17795,17795,0
641,641,9440,28823,11466,12422,880,19784,22671,28689,28925,28925,0
646,646,12079,38242,14533,16188,1542,25525,28938,37978,38292,38292,0
647,647,1818,5696,2327,2563,220,4181,4722,5691,5711,5711,0
650,650,4994,14560,5756,6119,293,9598,11183,14326,14569,14569,0
652,652,1367,3774,1489,1660,95,2570,2899,3868,3893,3893,0
653,653,3717,12056,4589,5119,538,7960,9148,11934,12125,12125,0
656,656,6651,19934,7716,8523,655,13475,15370,19791,19996,19996,0
659,659,14339,41222,16234,17984,1090,28567,32491,40981,41327,41327,0
660,660,6233,16494,6427,7699,439,12081,13456,16623,16678,16678,0
662,662,14321,41675,16643,18098,1274,29022,32999,41601,41986,41986,0
664,664,4749,15467,6228,6371,479,10141,11871,15533,15693,15693,0
667,667,8457,24435,9883,10677,800,17237,19576,24253,24492,24492,0
669,669,9771,26789,10945,11454,539,18538,21275,26831,27063,27063,0
670,670,3109,8995,3655,3781,307,6161,7093,8930,9087,9087,0
674,674,15958,41336,15842,18278,1322,28206,32285,41110,41545,41545,0
676,676,12550,38209,15141,16154,626,25728,29521,38145,38488,38488,0
677,677,5236,14730,5912,6487,237,10644,11820,14704,14755,14755,0
678,678,9360,26461,10417,11433,655,18104,20742,26209,26490,26490,0
680,680,18926,49657,20161,22865,916,34086,41505,50279,50628,50628,0
682,682,11733,32137,13088,14295,771,20246,25746,32156,32433,32433,0
683,683,11752,31451,12873,13951,631,22056,25530,31742,32058,32058,0
685,685,14046,39927,16060,17115,824,27904,31444,39948,40102,40102,0
687,687,9827,32023,12736,13129,770,20840,24328,31584,32087,32087,0
688,688,4256,11925,5893,5139,270,9215,10504,12752,12797,12797,0
690,690,2171,5321,2019,2373,33,3668,4110,5288,5328,5328,0
692,692,11904,35829,13710,15794,1477,24200,27927,36446,36700,36700,0
693,693,17873,57086,22406,24794,2024,39214,44739,56890,57428,57428,0
694,694,39,66,41,25,0,66,66,66,66,66,0
698,698,10643,38191,15042,16816,1102,26729,30233,37836,38502,38502,0
703,703,8790,27621,10965,11846,660,18977,21612,27574,27797,27797,0
704,704,2938,8306,3054,3336,198,5216,6147,8294,8390,8390,0
705,705,8526,24363,9565,10539,757,16680,19072,24070,24387,24387,0
707,707,4035,11498,4647,4852,457,7933,9059,11318,11506,11506,0
714,714,6168,18623,6843,8168,636,12362,14197,18519,18640,18640,0
715,715,1268,3643,1526,1429,129,2525,2805,3678,3692,3692,0
716,716,11483,28990,11107,12882,592,20498,22882,29114,29351,29351,0
717,717,6943,17580,6233,8396,396,11312,13817,17754,17958,17958,0
718,718,8513,26414,9837,11269,466,17287,19955,26204,26460,26460,0
719,719,8820,30004,12051,12608,1178,20211,23363,29842,30094,30094,0
720,720,6735,21999,8860,9078,543,14311,16836,21900,22148,22148,0
723,723,6458,18135,7294,7748,401,12505,14314,17929,18135,18135,0
725,725,31237,82609,30996,37901,2631,57263,65417,82769,83479,83479,0
727,727,20567,56783,22163,24886,1559,38824,44602,56569,57079,57079,0
728,728,13654,39012,16514,17287,1005,27331,32135,40709,41245,41245,0
729,729,16532,52754,20207,22627,1856,35034,40520,52279,52897,52897,0
730,730,12463,33402,13459,14435,1002,22737,26310,33440,33899,33899,0
731,731,4814,14957,5957,6383,638,10212,11695,14827,14988,14988,0
735,735,4658,12774,4879,5746,378,8835,10078,12672,12798,12798,0
736,736,17705,49711,19975,21593,1221,34475,39485,49434,49841,49841,0
738,738,12099,32142,12303,14251,1357,21855,25199,32126,32409,32409,0
739,739,12279,37381,14604,15987,989,25178,28856,37129,37558,37558,0
740,740,592,1503,485,748,40,944,1123,1464,1503,1503,0
741,741,1554,5022,1893,2404,336,3629,4034,4979,5042,5042,0
745,745,16545,52445,21134,22838,1948,36184,41624,52913,53395,53395,0
751,751,8247,22034,8694,9522,628,14729,16817,22052,22110,22110,0
754,754,13676,39105,15715,16751,1129,26866,30766,38899,39218,39218,0
757,757,7757,22721,8598,9487,365,14604,16963,22484,22732,22732,0
765,765,2585,8801,3599,3641,456,6062,6933,8801,8801,8801,0
766,766,8030,24300,9631,10248,1011,15842,18609,24143,24489,24489,0
767,767,12045,35655,14078,15341,1275,24351,27869,35403,35734,35734,0
769,769,13482,39517,15450,16722,970,26852,30491,39247,39630,39630,0
771,771,12774,38075,14660,16383,1215,25910,29407,37774,38132,38132,0
772,772,6659,21053,7881,9199,957,13754,16113,20843,21096,21096,0
773,773,6691,19114,7370,8450,712,12980,14935,19094,19237,19237,0
775,775,499,1493,627,538,50,1029,1114,1466,1493,1493,0
777,777,12878,40195,15318,17323,1279,26727,30868,40046,40398,40398,0
778,778,15473,46661,17870,20313,1376,31488,36079,46644,46990,46990,0
780,780,4162,11537,4575,5025,354,7791,8894,11497,11597,11597,0
782,782,5813,18529,7522,7647,389,12352,14371,18370,18544,18544,0
783,783,10842,34428,13522,14617,1135,22940,26596,34291,34702,34702,0
784,784,14441,40188,16736,17499,1032,27881,32282,41455,41993,41993,0
786,786,117,287,130,157,0,287,287,287,287,287,0
791,791,17175,49984,19588,22170,1187,34683,39671,49985,50515,50515,0
794,794,9404,29218,11576,12189,1221,18820,22295,29231,29635,29635,0
795,795,15379,45707,17234,19671,1737,30018,34782,45425,45852,45852,0
901,901,2782,5382,3074,2707,60,5125,5673,6486,6541,6541,0
906,906,55,76,53,23,0,61,76,76,76,76,0
907,907,8943,17345,7188,8309,181,13916,15014,17379,17472,17472,0
909,909,2520,5497,2003,2536,114,3883,4361,5479,5563,5563,0
911,911,3868,7128,3011,3454,65,5767,6320,7166,7227,7227,0
912,912,2438,5411,2313,2893,130,4248,4959,5716,5758,5758,0
913,913,3420,8333,2207,3812,142,4378,5428,8129,8333,8333,0
915,915,11411,27996,10967,12351,698,19045,22121,27976,28173,28173,0
917,917,8193,18679,7511,9066,342,13965,15918,18903,19005,19005,0
918,918,8030,16395,5969,7485,183,11718,13029,16193,16400,16400,0
920,920,7131,17546,6625,8334,485,12880,14503,17423,17576,17576,0
921,921,13945,35529,13098,16619,865,24640,28321,35677,36104,36104,0
923,923,10379,25393,9272,11920,929,17598,20202,25538,25745,25745,0
924,924,20004,53054,18430,24928,1671,35027,40517,53576,54062,54062,0
925,925,3135,5784,3363,3134,79,4151,6374,6895,6924,6924,0
926,926,37771,100194,38530,46399,2360,71549,80520,100271,101337,101337,0
927,927,6049,14115,5369,6919,168,10598,11960,14142,14229,14229,0
934,934,47,67,20,27,0,47,35,67,67,67,0
936,936,0,0,453,440,0,863,893,893,893,893,0
949,949,26248,77161,29298,34465,3067,52803,60418,76790,77458,77458,0
950,950,0,0,0,0,0,0,0,0,0,0,0
951,951,8,8,8,0,0,8,8,8,8,8,0
952,952,3073,9040,3581,3830,242,6175,7056,8989,9078,9078,0
953,953,21935,72390,27988,30736,2241,47503,55206,71925,72712,72712,0
956,956,26169,70482,27272,31566,2034,49274,56227,71000,71602,71602,0
957,957,15220,41909,15253,19342,1379,28430,32610,41714,42155,42155,0
959,959,18795,47921,18104,22825,1216,33936,38850,47881,48349,48349,0
960,960,0,0,2410,19,0,1850,2367,2429,2429,2429,0
961,961,11402,28601,12956,13681,896,22508,25419,30507,30655,30655,0
962,962,7182,20502,7646,8823,762,13351,15548,20336,20509,20509,0
965,965,2821,7453,2857,3431,274,5204,6007,7437,7543,7543,0
966,966,6367,15725,6425,7337,263,11841,13116,15874,15981,15981,0
968,968,1854,3293,1194,1801,20,2889,2975,3272,3293,3293,0
969,969,15818,43078,16796,19863,728,31087,35169,43025,43372,43372,0
971,971,10160,28379,12161,12232,903,20389,23247,28343,28550,28550,0
976,976,21694,60352,22847,27186,2112,41702,47454,60556,61084,61084,0
979,979,7732,14977,6465,7097,323,12214,13249,14932,15019,15019,0
982,982,5893,14847,5621,7018,406,10693,12046,14797,14874,14874,0
983,983,14554,38482,13691,18538,1074,25986,30510,38232,38533,38533,0
985,985,12754,33129,12619,15177,1058,23264,26282,33087,33320,33320,0
987,987,21578,58388,22190,25671,1607,39497,45401,58061,58705,58705,0
1001,1001,7190,16847,6544,8206,420,13010,14161,17330,17423,17423,0
1002,1002,9561,24713,13077,13969,165,13301,26282,29786,29970,29970,0
1003,1003,26,59,5694,5602,0,121,11227,11296,11296,11296,0
1005,1005,1840,5042,2250,2138,89,3573,4082,5201,5228,5228,0
1007,1007,5611,14883,5772,6273,128,9985,11278,14790,14888,14888,0
1008,1008,530,1194,558,517,7,928,1013,1189,1194,1194,0
1009,1009,106,237,105,109,0,203,203,237,237,237,0
1010,1010,1494,3718,1644,1558,40,2753,3040,3704,3718,3718,0
1011,1011,552,1510,708,534,19,1088,1197,1500,1523,1523,0
1012,1012,243,528,226,222,0,385,428,522,528,528,0
1013,1013,9302,22264,8513,10293,480,15249,17794,22715,22943,22943,0
1020,1020,12482,30550,12743,13263,587,22610,25046,30397,30629,30629,0
1022,1022,1204,1966,1078,1297,0,1776,2177,2528,2528,2528,0
1026,1026,455,1018,422,457,22,785,821,1014,1018,1018,0
1027,1027,7883,17801,7314,8259,368,13740,14990,17659,17872,17872,0
1028,1028,6063,15613,6130,7098,281,11561,12677,15948,16063,16063,0
1029,1029,325,760,339,330,24,589,641,751,760,760,0
1030,1030,4431,11271,4659,4809,137,8024,8888,11226,11278,11278,0
1031,1031,533,1192,599,435,15,849,1005,1165,1192,1192,0
1032,1032,273,590,233,276,4,463,488,580,590,590,0
1033,1033,2476,6310,2426,2980,180,4660,5110,6211,6310,6310,0
1034,1034,862,2323,1044,982,31,1670,1915,2314,2323,2323,0
1035,1035,2291,5175,1855,2803,62,4110,4454,5331,5338,5338,0
1036,1036,1907,5095,2164,2327,108,3788,4240,5135,5190,5190,0
1037,1037,252,571,434,249,0,505,604,755,755,755,0
1038,1038,1270,2840,1231,1307,13,2274,2396,2839,2853,2853,0
1039,1039,547,1190,477,586,5,937,1030,1194,1194,1194,0
1040,1040,15005,39020,15368,16912,612,26426,30534,39690,40280,40280,0
1050,1050,925,2343,1000,934,82,1691,1862,2324,2343,2343,0
1053,1053,557,1255,785,666,11,1346,1426,1689,1697,1697,0
1054,1054,809,1956,823,838,30,1466,1587,1960,1972,1972,0
1056,1056,8000,20720,9091,8867,551,15787,17285,21162,21352,21352,0
1057,1057,3476,8727,3547,3838,131,6320,7012,8701,8773,8773,0
1060,1060,6433,13053,5442,8327,81,10128,13344,15254,15407,15407,0
1062,1062,4374,10557,4505,4381,201,7725,8485,10759,10867,10867,0
1063,1063,0,0,24,539,0,4,558,563,563,563,0
1066,1066,12,12,12,0,0,12,12,12,12,12,0
1068,1068,647,1817,735,785,19,1276,1451,1817,1825,1825,0
1069,1069,3471,8608,3672,3650,105,6338,7022,8695,8753,8753,0
1070,1070,259,557,255,241,13,443,470,558,562,562,0
1071,1071,511,1267,480,589,6,971,1036,1271,1271,1271,0
1072,1072,650,1542,630,693,33,1094,1217,1542,1542,1542,0
1073,1073,2490,6081,2505,2614,25,4500,4941,6074,6081,6081,0
1074,1074,78,228,78,77,0,155,155,228,228,228,0
1075,1075,6803,15348,6124,9551,302,11784,15148,17701,17770,17770,0
1077,1077,3634,9572,3993,3973,245,6927,7635,9627,9650,9650,0
1079,1079,354,811,256,425,0,573,583,811,811,811,0
1080,1080,901,2452,1007,1034,88,1603,1922,2423,2452,2452,0
1081,1081,709,1823,710,734,47,1268,1357,1801,1823,1823,0
1082,1082,4377,10605,4374,4442,274,7418,8359,10467,10612,10612,0
1083,1083,1136,3148,1268,1289,26,2184,2451,3080,3148,3148,0
1084,1084,71,154,63,81,0,137,144,154,154,154,0
1085,1085,15389,38955,17122,17821,648,26697,33267,41106,41479,41479,0
1086,1086,0,0,291,399,0,16,690,690,690,690,0
1088,1088,245,433,227,178,0,382,405,433,433,433,0
1089,1089,11630,28431,11159,12444,611,19619,22290,28267,28575,28575,0
1092,1092,486,1186,558,480,0,894,1038,1162,1191,1191,0
1093,1093,130,289,130,137,0,239,256,289,289,289,0
1094,1094,193,347,143,145,0,274,288,347,347,347,0
1095,1095,5257,14255,6043,6202,227,10351,11411,14530,14569,14569,0
1096,1096,1047,2559,988,1090,41,1861,1990,2547,2564,2564,0
1097,1097,25,78,25,30,0,36,47,66,78,78,0
1098,1098,537,1117,502,492,7,858,951,1112,1117,1117,0
1103,1103,1406,2381,964,1043,78,1717,1953,2374,2430,2430,0
1104,1104,8866,22967,8761,9517,982,14572,17066,22841,23183,23183,0
1105,1105,4822,11011,3981,4675,330,6973,8366,11412,11576,11576,0
1106,1106,5832,15237,6160,7051,197,11182,12372,15886,15983,15983,0
1107,1107,3873,11314,4314,4136,229,6460,7944,11348,11474,11474,0
1108,1108,9776,28323,9886,11505,926,16612,19834,28030,28449,28449,0
1109,1109,9571,27028,11197,12939,889,16075,22791,29828,30139,30139,0
1118,1118,5531,14154,5166,6342,300,9976,11043,14109,14293,14293,0
1119,1119,4722,12214,4809,6005,358,8195,10304,13048,13091,13091,0
1128,1128,1071,2695,1227,1164,84,1969,2260,2667,2695,2695,0
1129,1129,2872,7152,2597,3333,256,5138,5580,7175,7220,7220,0
1151,1151,3289,9284,3203,3658,210,5484,6417,9205,9295,9295,0
1199,1199,0,0,0,0,0,0,0,0,0,0,0
1201,1201,19765,43897,17615,20082,969,32727,36243,44498,45001,45001,0
1220,1220,3773,8240,3394,3716,26,6046,6713,8191,8266,8266,0
1222,1222,370,829,351,376,0,659,682,829,829,829,0
1223,1223,999,2247,1022,966,36,1796,1914,2238,2247,2247,0
1224,1224,108,176,47,129,0,144,166,176,176,176,0
1225,1225,1445,3192,1372,1449,51,2442,2666,3142,3192,3192,0
1226,1226,2871,6780,3053,2911,94,5130,5680,6870,6885,6885,0
1229,1229,52,102,42,38,0,80,80,102,102,102,0
1230,1230,3263,7200,3582,3666,134,5936,6706,8169,8195,8195,0
1235,1235,1165,2666,1202,1034,31,2026,2127,2656,2666,2666,0
1236,1236,474,1384,522,590,18,890,1021,1405,1422,1422,0
1237,1237,958,2755,1111,1081,62,1904,2099,2686,2755,2755,0
1238,1238,2434,5762,2447,2601,36,4444,4881,5937,5950,5950,0
1240,1240,2326,4301,1834,2234,133,3583,3918,4592,4592,4592,0
1242,1242,156,423,154,143,0,296,297,429,429,429,0
1243,1243,183,381,163,185,2,334,343,370,381,381,0
1244,1244,56,82,30,43,0,73,73,82,82,82,0
1245,1245,412,834,412,385,10,718,751,870,870,870,0
1247,1247,6874,14690,6550,7022,197,11000,13105,15531,15725,15725,0
1253,1253,319,734,327,300,19,595,607,720,734,734,0
1254,1254,469,974,451,433,11,823,861,982,985,985,0
1255,1255,338,815,398,346,23,630,715,867,869,869,0
1256,1256,326,764,366,289,7,567,622,761,764,764,0
1257,1257,953,2153,969,985,10,1643,1804,2155,2164,2164,0
1258,1258,189,359,183,157,0,336,338,359,359,359,0
1259,1259,279,556,253,284,6,510,524,556,556,556,0
1260,1260,151,545,211,216,20,316,391,545,545,545,0
1262,1262,564,1007,456,635,20,982,1085,1196,1196,1196,0
1264,1264,65,131,59,85,7,141,143,159,161,161,0
1266,1266,633,1375,605,620,18,1135,1204,1369,1380,1380,0
1267,1267,2376,5175,3029,3874,57,4088,6673,7819,7846,7846,0
1270,1270,342,814,382,331,11,623,684,814,814,814,0
1301,1301,7838,17059,7324,7635,155,12999,14392,17529,17730,17730,0
1330,1330,634,1465,657,628,15,1140,1232,1465,1468,1468,0
1331,1331,5331,13062,5418,5630,393,9377,10375,13110,13205,13205,0
1337,1337,1130,2598,1055,1138,31,1995,2109,2572,2598,2598,0
1338,1338,57,138,59,68,0,119,127,138,138,138,0
1339,1339,624,1429,605,646,49,1084,1187,1458,1461,1461,0
1340,1340,733,1689,730,726,31,1290,1417,1674,1689,1689,0
1341,1341,684,1712,690,739,10,1246,1357,1713,1716,1716,0
1342,1342,555,1486,671,830,90,1305,1431,1753,1768,1768,0
1343,1343,24,46,22,24,0,46,46,46,46,46,0
1344,1344,638,1582,663,651,33,1155,1252,1582,1582,1582,0
1346,1346,194,465,200,196,4,344,381,454,465,465,0
1347,1347,64,133,40,73,12,96,106,133,133,133,0
1349,1349,425,1106,444,498,43,778,916,1100,1106,1106,0
1350,1350,43,95,40,43,0,72,77,95,95,95,0
1351,1351,1008,2307,910,1113,13,1782,1864,2292,2312,2312,0
1354,1354,582,1401,771,730,13,1282,1453,1640,1656,1656,0
1355,1355,397,915,386,387,14,703,745,904,915,915,0
1360,1360,1256,2981,1287,1259,0,2273,2368,2965,3006,3006,0
1364,1364,3326,7777,3190,3304,176,5599,6235,7728,7832,7832,0
1366,1366,481,1143,513,575,17,894,1029,1196,1202,1202,0
1367,1367,250,686,277,256,14,448,490,678,686,686,0
1368,1368,512,1363,566,595,33,993,1116,1347,1363,1363,0
1370,1370,1789,3809,1565,1862,46,3011,3310,3849,3879,3879,0
1373,1373,1867,4180,1630,1930,86,3166,3410,4156,4184,4184,0
1375,1375,1547,3612,1744,1479,13,2306,3163,3620,3673,3673,0
1376,1376,2283,4955,1901,2401,148,3862,4189,5071,5101,5101,0
1378,1378,351,734,309,356,13,586,642,727,734,734,0
1379,1379,353,768,320,345,8,627,650,760,775,775,0
1420,1420,14714,38313,16169,16587,955,25562,31196,40056,40441,40441,0
1430,1430,2195,5963,2374,2553,123,4177,4697,6127,6171,6171,0
1431,1431,1051,3196,1410,1334,65,2270,2555,3174,3196,3196,0
1432,1432,3324,7594,3023,3161,169,5573,5919,7554,7594,7594,0
1434,1434,206,582,1501,136,0,1510,1637,1716,1716,1716,0
1436,1436,1299,3586,1433,1534,94,2576,2783,3801,3823,3823,0
1438,1438,245,633,278,260,0,523,523,635,635,635,0
1440,1440,8215,19146,8236,8473,331,14229,16097,20076,20334,20334,0
1450,1450,4042,11048,4437,4695,90,7663,8467,11128,11182,11182,0
1451,1451,1666,4629,1868,1812,10,3309,3437,4598,4629,4629,0
1452,1452,1626,4532,1824,1906,113,3126,3456,4537,4537,4537,0
1453,1453,16730,40954,15656,18091,655,29116,32337,40869,41336,41336,0
1460,1460,3554,9380,3878,4092,117,6960,7488,9445,9538,9538,0
1462,1462,4262,11071,4363,4770,206,7871,8526,11057,11087,11087,0
1463,1463,4301,12020,4555,4981,412,8167,9042,11960,12031,12031,0
1464,1464,2408,5926,3987,2543,175,5693,6171,7354,7433,7433,0
1467,1467,144,475,247,252,0,441,488,560,560,560,0
1468,1468,1707,3704,1778,1594,0,2932,3226,3704,3704,3704,0
1469,1469,2652,7425,2793,2990,188,5022,5554,7276,7430,7430,0
1473,1473,2864,7480,2990,3132,77,5358,5910,7462,7480,7480,0
1474,1474,745,1939,772,867,69,1354,1575,1927,1939,1939,0
1475,1475,3855,10391,4590,4004,97,7351,8054,10598,10613,10613,0
1501,1501,6452,16105,6432,7335,353,11776,13150,16099,16239,16239,0
1503,1503,1129,3056,1358,1266,85,2295,2497,3041,3061,3061,0
1504,1504,3343,9021,3389,4118,191,6138,7082,8994,9068,9068,0
1505,1505,1723,4463,1822,1873,38,3198,3498,4446,4480,4480,0
1506,1506,1419,3379,1416,1373,0,2492,2648,3290,3386,3386,0
1507,1507,4834,13145,4929,5898,191,9144,10302,13146,13292,13292,0
1510,1510,5602,13735,5601,5955,216,9619,11103,13597,13759,13759,0
1515,1515,826,2259,933,931,65,1589,1788,2219,2259,2259,0
1516,1516,3164,8689,3339,3575,74,5790,6496,8661,8689,8689,0
1518,1518,1252,3000,1062,1322,0,2124,2277,3009,3009,3009,0
1519,1519,2376,6476,2574,2822,172,4703,5119,6515,6548,6548,0
1520,1520,5238,14717,5887,6199,249,10371,11406,14781,14880,14880,0
1521,1521,952,2374,1079,974,57,1729,1982,2355,2374,2374,0
1522,1522,1231,3380,1270,1421,33,2242,2454,3359,3380,3380,0
1523,1523,2277,6394,3936,2757,188,5461,6291,7798,7811,7811,0
1524,1524,2656,6265,2763,3084,183,4756,5603,6577,6649,6649,0
1525,1525,56,128,65,41,0,86,106,128,128,128,0
1527,1527,5267,13266,5541,5524,151,9262,10480,13289,13431,13431,0
1529,1529,1073,3213,1187,1358,63,2170,2389,3177,3218,3218,0
1531,1531,386,1106,463,462,30,808,854,1092,1106,1106,0
1532,1532,5117,14658,5812,6090,267,10135,11343,14717,14846,14846,0
1534,1534,2228,6212,2486,2771,112,4513,4889,6397,6406,6406,0
1535,1535,1824,4748,1925,2043,87,3279,3796,4730,4761,4761,0
1536,1536,2764,7222,2925,3340,113,5148,5888,7444,7557,7557,0
1537,1537,929,2666,827,1136,87,1640,1819,2577,2671,2671,0
1540,1540,4338,10851,4226,4693,380,7679,8350,10697,10921,10921,0
1541,1541,1226,3413,1452,1410,43,2454,2641,3414,3451,3451,0
1542,1542,868,2312,952,1095,30,1821,1927,2366,2366,2366,0
1543,1543,2873,8363,3402,3328,113,5474,6264,8346,8402,8402,0
1545,1545,12860,35920,14256,14801,863,23995,27047,35803,36103,36103,0
1550,1550,6835,16611,6555,7121,613,11343,13048,16602,16824,16824,0
1560,1560,1667,4485,1629,1760,92,2913,3166,4466,4504,4504,0
1561,1561,84,249,133,90,0,223,223,249,249,249,0
1562,1562,4735,11717,5018,4791,184,8655,9610,11586,11801,11801,0
1564,1564,2762,7784,3157,3204,232,5600,5974,7834,7954,7954,0
1566,1566,2350,6437,2401,2828,109,4512,4845,6379,6442,6442,0
1568,1568,2659,7506,3021,3068,138,5146,5544,7438,7532,7532,0
1569,1569,4754,13818,5649,5810,271,9185,10703,13791,13881,13881,0
1570,1570,6520,16510,6395,7605,237,11800,13388,16656,16838,16838,0
1571,1571,3945,10634,4997,4590,308,7334,9115,11561,11608,11608,0
1581,1581,6757,18198,7385,7484,486,12912,13857,18536,18706,18706,0
1583,1583,2031,5080,4401,2377,68,5894,6622,7564,7602,7602,0
1585,1585,1843,4423,1944,1961,85,3454,3769,4588,4606,4606,0
1588,1588,3715,9617,3516,4258,222,6422,7285,9731,9731,9731,0
1590,1590,3201,9174,3523,3893,123,6245,6861,9173,9184,9184,0
1602,1602,9444,22502,9505,11022,230,16122,19743,23602,23812,23812,0
1603,1603,7254,19872,8504,8249,783,13846,16069,20229,20505,20505,0
1604,1604,14189,35567,14388,14644,851,24488,27915,35293,35866,35866,0
1605,1605,10391,27284,10298,12240,766,17552,21469,28236,28696,28696,0
1606,1606,7865,18653,7734,8581,227,13970,15614,19037,19258,19258,0
1607,1607,3584,8576,3448,3614,98,6028,6693,8422,8636,8636,0
1608,1608,1587,3351,1198,1504,35,2077,2582,3420,3511,3511,0
1609,1609,7133,15536,9003,8989,127,11577,17474,19834,19982,19982,0
1610,1610,7912,20284,9882,10068,668,13618,19153,23587,23919,23919,0
1611,1611,925,2466,1077,949,50,1766,1933,2443,2466,2466,0
1612,1612,1512,4348,2123,1932,138,3042,3914,4868,4889,4889,0
1701,1701,12543,31404,12853,14188,345,23825,25844,31695,32061,32061,0
1702,1702,15207,35948,14872,16920,514,25612,30636,38064,38781,38781,0
1718,1718,199,526,173,239,0,341,397,526,526,526,0
1719,1719,2157,5287,2213,2166,18,3626,4061,5247,5287,5287,0
1720,1720,8409,22452,8972,9095,259,15551,16849,22498,22638,22638,0
1721,1721,6726,17343,6824,7278,211,12316,13416,17211,17420,17420,0
1730,1730,5133,13686,5451,5580,191,9780,10506,13726,14018,14018,0
1731,1731,520,1887,601,558,8,876,650,1902,1957,1957,0
1740,1740,1703,5083,1997,2045,120,3437,3709,5044,5113,5113,0
1741,1741,1762,5125,1965,2085,116,3553,3818,5109,5125,5125,0
1742,1742,6773,17433,8025,7624,121,13924,14897,19257,19448,19448,0
1745,1745,149,482,109,169,0,258,269,482,482,482,0
1746,1746,5119,14267,5432,5949,97,9772,10558,14258,14324,14324,0
1747,1747,2280,5852,2238,2588,54,4135,4443,5792,5942,5942,0
1748,1748,5620,16130,6127,6402,136,10833,11591,15999,16257,16257,0
1749,1749,7605,19649,8084,8480,331,14363,15644,19510,19680,19680,0
1752,1752,15442,38939,15845,16563,768,28096,31085,38905,39545,39545,0
1754,1754,4375,10505,4147,4389,136,7726,8309,10425,10526,10526,0
1756,1756,2012,5939,2338,2448,25,3900,4387,5907,5963,5963,0
1757,1757,11116,28408,11066,11847,551,19867,21869,28406,28600,28600,0
1760,1760,13943,34755,13378,14601,366,24813,26520,34697,35133,35133,0
1770,1770,1449,4255,1632,1779,13,2799,3018,4230,4255,4255,0
1772,1772,3181,9330,3635,3730,95,6166,6940,9427,9486,9486,0
1773,1773,1955,4788,1907,2136,18,3535,3740,4769,4793,4793,0
1775,1775,2519,7022,2549,2861,74,4716,5136,6982,7027,7027,0
1776,1776,6133,18394,6808,7550,172,12144,13084,18445,18594,18594,0
1778,1778,5129,13642,5126,5739,172,9423,10097,13590,13697,13697,0
1801,1801,15266,39461,16541,16841,542,28967,32010,39223,39775,39775,0
1803,1803,9271,25669,10562,10880,782,18559,20321,25417,25698,25698,0
1810,1810,12179,33463,13396,14312,413,22717,26098,34645,34963,34963,0
1821,1821,10911,31762,12842,13573,809,22304,25211,31427,31780,31780,0
1824,1824,9812,25698,10447,10995,413,18809,20473,25551,25803,25803,0
1826,1826,10957,30834,12079,12858,1033,21369,23751,30565,30855,30855,0
1827,1827,1165,3310,1223,1463,72,2262,2497,3277,3310,3310,0
1830,1830,10010,25124,10247,10937,647,18047,20315,25482,25882,25882,0
1832,1832,8616,23154,8976,9924,355,16184,17986,22927,23305,23305,0
1833,1833,3153,8485,3408,3477,72,5847,6403,8459,8514,8514,0
1834,1834,2274,6681,2915,2798,180,4533,5276,6646,6681,6681,0
1835,1835,5155,12975,4873,5870,112,8900,10222,13013,13153,13153,0
1840,1840,2259,5436,1828,2320,168,3302,3934,5436,5524,5524,0
1841,1841,14715,47004,18147,19202,2067,28791,35119,47095,47836,47836,0
1843,1843,8778,25829,9505,10459,887,15669,18828,25351,25963,25963,0
1844,1844,17401,48603,19314,20751,1395,33199,37656,48724,49057,49057,0
1845,1845,10900,28523,11827,12190,312,19864,22770,29426,29705,29705,0
1850,1850,5447,16218,6345,6068,303,9617,11690,16127,16394,16394,0
1851,1851,10114,29824,11788,12080,1127,19813,22910,29508,30026,30026,0
1852,1852,13675,33417,14488,13706,525,23751,26920,33749,34332,34332,0
1854,1854,9530,25661,11882,12481,655,17016,23379,28822,29204,29204,0
1860,1860,2641,6663,2552,3135,0,4707,5316,6611,6695,6695,0
