,ZCTA5,urban_rural-population-total_population,urban_rural-population-urban_total_population,urban_rural-population-rural_total_population,urban_rural-percent-urban_population-of-total_population,urban_rural-percent-rural_population-of-total_population
26017,75287,49004,49004,0,1.0,0.0
26018,75390,0,0,0,,
26019,75401,18552,14349,4203,0.773,0.227
26020,75402,15920,8934,6986,0.561,0.439
26021,75407,14120,6705,7415,0.475,0.525
26022,75409,11831,7708,4123,0.652,0.348
26023,75410,4334,0,4334,0.0,1.0
26024,75411,1118,0,1118,0.0,1.0
26025,75412,778,0,778,0.0,1.0
26026,75413,305,0,305,0.0,1.0
26027,75414,3136,0,3136,0.0,1.0
26028,75415,144,0,144,0.0,1.0
26029,75416,2893,0,2893,0.0,1.0
26030,75417,2456,0,2456,0.0,1.0
26031,75418,14411,9995,4416,0.694,0.306
26032,75420,1076,0,1076,0.0,1.0
26033,75421,1003,0,1003,0.0,1.0
26034,75422,2883,0,2883,0.0,1.0
26035,75423,2982,0,2982,0.0,1.0
26036,75424,3297,0,3297,0.0,1.0
26037,75426,5301,3121,2180,0.589,0.411
26038,75428,10089,7717,2372,0.765,0.235
26039,75431,2052,0,2052,0.0,1.0
26040,75432,3323,0,3323,0.0,1.0
26041,75433,2773,0,2773,0.0,1.0
26042,75435,1185,0,1185,0.0,1.0
26043,75436,1876,0,1876,0.0,1.0
26044,75437,1078,0,1078,0.0,1.0
26045,75438,972,0,972,0.0,1.0
26046,75439,868,0,868,0.0,1.0
26047,75440,6350,0,6350,0.0,1.0
26048,75441,142,0,142,0.0,1.0
26049,75442,8858,3138,5720,0.354,0.646
26050,75446,3180,0,3180,0.0,1.0
26051,75447,1080,0,1080,0.0,1.0
26052,75448,655,0,655,0.0,1.0
26053,75449,1186,0,1186,0.0,1.0
26054,75450,331,0,331,0.0,1.0
26055,75451,1211,0,1211,0.0,1.0
26056,75452,4090,0,4090,0.0,1.0
26057,75453,3255,377,2878,0.116,0.884
26058,75454,5699,4790,909,0.84,0.16
26059,75455,28293,15987,12306,0.565,0.435
26060,75457,6522,2585,3937,0.396,0.604
26061,75459,4326,0,4326,0.0,1.0
26062,75460,23592,20955,2637,0.888,0.112
26063,75462,11350,5394,5956,0.475,0.525
26064,75468,888,0,888,0.0,1.0
26065,75469,371,0,371,0.0,1.0
26066,75470,288,0,288,0.0,1.0
26067,75471,1424,0,1424,0.0,1.0
26068,75472,3548,594,2954,0.167,0.833
26069,75473,3855,0,3855,0.0,1.0
26070,75474,14882,5269,9613,0.354,0.646
26071,75475,129,0,129,0.0,1.0
26072,75476,1304,0,1304,0.0,1.0
26073,75477,977,0,977,0.0,1.0
26074,75478,932,0,932,0.0,1.0
26075,75479,1849,0,1849,0.0,1.0
26076,75480,1646,0,1646,0.0,1.0
26077,75481,395,0,395,0.0,1.0
26078,75482,24385,14196,10189,0.582,0.418
26079,75486,2346,0,2346,0.0,1.0
26080,75487,1541,0,1541,0.0,1.0
26081,75488,1161,0,1161,0.0,1.0
26082,75489,993,0,993,0.0,1.0
26083,75490,2211,0,2211,0.0,1.0
26084,75491,4801,0,4801,0.0,1.0
26085,75492,516,0,516,0.0,1.0
26086,75493,611,0,611,0.0,1.0
26087,75494,10862,3403,7459,0.313,0.687
26088,75495,7095,3038,4057,0.428,0.572
26089,75496,3351,0,3351,0.0,1.0
26090,75497,3350,0,3350,0.0,1.0
26091,75501,36298,26720,9578,0.736,0.264
26092,75503,24379,22500,1879,0.923,0.077
26093,75550,808,0,808,0.0,1.0
26094,75551,11007,4852,6155,0.441,0.559
26095,75554,1806,0,1806,0.0,1.0
26096,75555,1611,0,1611,0.0,1.0
26097,75556,1133,0,1133,0.0,1.0
26098,75558,1636,0,1636,0.0,1.0
26099,75559,5568,0,5568,0.0,1.0
26100,75560,1088,0,1088,0.0,1.0
26101,75561,5395,2930,2465,0.543,0.457
26102,75562,176,0,176,0.0,1.0
26103,75563,4282,0,4282,0.0,1.0
26104,75565,361,0,361,0.0,1.0
26105,75566,782,0,782,0.0,1.0
26106,75567,4225,0,4225,0.0,1.0
26107,75568,2876,0,2876,0.0,1.0
26108,75569,2874,2870,4,0.999,0.001
