,ZCTA5,urban_rural-population-total_population,urban_rural-population-urban_total_population,urban_rural-population-rural_total_population,urban_rural-percent-urban_population-of-total_population,urban_rural-percent-rural_population-of-total_population
146,1028,15720,15436,284,0.982,0.018
147,1029,789,0,789,0.0,1.0
148,1030,11669,10402,1267,0.891,0.109
149,1031,1308,408,900,0.312,0.688
150,1032,570,0,570,0.0,1.0
151,1033,6227,3380,2847,0.543,0.457
152,1034,2021,0,2021,0.0,1.0
153,1035,5250,3125,2125,0.595,0.405
154,1036,5109,2684,2425,0.525,0.475
155,1037,838,0,838,0.0,1.0
156,1038,2545,0,2545,0.0,1.0
157,1039,1336,395,941,0.296,0.704
158,1040,39880,39444,436,0.989,0.011
159,1050,2530,68,2462,0.027,0.973
160,1053,1685,1254,431,0.744,0.256
161,1054,1851,0,1851,0.0,1.0
162,1056,21103,18627,2476,0.883,0.117
163,1057,8534,2317,6217,0.272,0.728
164,1060,15284,14258,1026,0.933,0.067
165,1062,11150,9975,1175,0.895,0.105
166,1063,430,430,0,1.0,0.0
167,1066,64,0,64,0.0,1.0
168,1068,1902,0,1902,0.0,1.0
169,1069,8469,6428,2041,0.759,0.241
170,1070,629,0,629,0.0,1.0
171,1071,1596,455,1141,0.285,0.715
172,1072,1478,0,1478,0.0,1.0
173,1073,5792,1107,4685,0.191,0.809
174,1074,319,0,319,0.0,1.0
175,1075,17527,16949,578,0.967,0.033
176,1077,9502,5023,4479,0.529,0.471
177,1079,692,426,266,0.616,0.384
178,1080,2334,2334,0,1.0,0.0
179,1081,1698,0,1698,0.0,1.0
180,1082,10322,6560,3762,0.636,0.364
181,1083,2888,1502,1386,0.52,0.48
182,1084,176,0,176,0.0,1.0
183,1085,41117,37649,3468,0.916,0.084
184,1086,687,687,0,1.0,0.0
185,1088,670,0,670,0.0,1.0
186,1089,28391,27877,514,0.982,0.018
187,1092,1394,638,756,0.458,0.542
188,1093,325,0,325,0.0,1.0
189,1094,351,0,351,0.0,1.0
190,1095,14319,12387,1932,0.865,0.135
191,1096,2217,0,2217,0.0,1.0
192,1097,111,65,46,0.586,0.414
193,1098,1101,0,1101,0.0,1.0
194,1103,2479,2479,0,1.0,0.0
195,1104,22865,22865,0,1.0,0.0
196,1105,12350,12350,0,1.0,0.0
197,1106,16021,16021,0,1.0,0.0
198,1107,11611,11611,0,1.0,0.0
199,1108,26688,26688,0,1.0,0.0
200,1109,30250,30250,0,1.0,0.0
201,1118,14071,14071,0,1.0,0.0
202,1119,14152,14152,0,1.0,0.0
203,1128,2631,2631,0,1.0,0.0
204,1129,7019,7019,0,1.0,0.0
205,1151,8698,8698,0,1.0,0.0
206,1199,0,0,0,,
207,1201,46504,43110,3394,0.927,0.073
208,1220,8603,7565,1038,0.879,0.121
209,1222,829,0,829,0.0,1.0
210,1223,2314,0,2314,0.0,1.0
211,1224,182,182,0,1.0,0.0
212,1225,3117,1689,1428,0.542,0.458
213,1226,6945,4892,2053,0.704,0.296
214,1229,95,0,95,0.0,1.0
215,1230,8430,3607,4823,0.428,0.572
216,1235,2766,588,2178,0.213,0.787
217,1236,1509,964,545,0.639,0.361
218,1237,2496,478,2018,0.192,0.808
219,1238,6047,4500,1547,0.744,0.256
220,1240,4534,3084,1450,0.68,0.32
221,1242,476,476,0,1.0,0.0
222,1243,334,0,334,0.0,1.0
223,1244,151,0,151,0.0,1.0
224,1245,985,0,985,0.0,1.0
225,1247,16087,12287,3800,0.764,0.236
226,1253,731,0,731,0.0,1.0
227,1254,972,0,972,0.0,1.0
228,1255,915,0,915,0.0,1.0
229,1256,692,0,692,0.0,1.0
230,1257,2121,0,2121,0.0,1.0
231,1258,374,0,374,0.0,1.0
232,1259,635,0,635,0.0,1.0
233,1260,240,62,178,0.258,0.742
234,1262,1238,535,703,0.432,0.568
235,1264,137,0,137,0.0,1.0
236,1266,1463,0,1463,0.0,1.0
237,1267,7989,5743,2246,0.719,0.281
238,1270,778,0,778,0.0,1.0
239,1301,17700,15544,2156,0.878,0.122
240,1330,1506,0,1506,0.0,1.0
241,1331,13263,7985,5278,0.602,0.398
242,1337,2596,0,2596,0.0,1.0
243,1338,187,0,187,0.0,1.0
244,1339,1438,0,1438,0.0,1.0
245,1340,1701,0,1701,0.0,1.0
246,1341,1833,0,1833,0.0,1.0
247,1342,1492,556,936,0.373,0.627
248,1343,75,0,75,0.0,1.0
249,1344,1498,489,1009,0.326,0.674
250,1346,533,0,533,0.0,1.0
251,1347,166,0,166,0.0,1.0
252,1349,1091,766,325,0.702,0.298
253,1350,121,0,121,0.0,1.0
254,1351,2270,148,2122,0.065,0.935
255,1354,1500,215,1285,0.143,0.857
256,1355,878,0,878,0.0,1.0
257,1360,3032,0,3032,0.0,1.0
258,1364,7969,4849,3120,0.608,0.392
259,1366,1277,0,1277,0.0,1.0
260,1367,522,0,522,0.0,1.0
261,1368,1261,0,1261,0.0,1.0
262,1370,4084,0,4084,0.0,1.0
263,1373,4600,1923,2677,0.418,0.582
264,1375,3684,2786,898,0.756,0.244
265,1376,5247,5247,0,1.0,0.0
266,1378,774,0,774,0.0,1.0
267,1379,813,0,813,0.0,1.0
268,1420,40337,37234,3103,0.923,0.077
269,1430,6089,602,5487,0.099,0.901
270,1431,3074,362,2712,0.118,0.882
271,1432,7089,6790,299,0.958,0.042
272,1434,1795,1795,0,1.0,0.0
273,1436,3336,2626,710,0.787,0.213
274,1438,559,514,45,0.919,0.081
275,1440,20347,19309,1038,0.949,0.051
276,1450,10646,6587,4059,0.619,0.381
277,1451,4747,79,4668,0.017,0.983
278,1452,4382,0,4382,0.0,1.0
279,1453,40883,39504,1379,0.966,0.034
280,1460,8924,8149,775,0.913,0.087
281,1462,10086,7034,3052,0.697,0.303
282,1463,11497,6620,4877,0.576,0.424
283,1464,7211,5287,1924,0.733,0.267
284,1467,316,0,316,0.0,1.0
285,1468,4021,877,3144,0.218,0.782
286,1469,6801,3362,3439,0.494,0.506
287,1473,7277,3224,4053,0.443,0.557
288,1474,2125,935,1190,0.44,0.56
289,1475,10270,5961,4309,0.58,0.42
290,1501,16075,15317,758,0.953,0.047
291,1503,2866,992,1874,0.346,0.654
292,1504,9026,8380,646,0.928,0.072
293,1505,4355,2417,1938,0.555,0.445
294,1506,3390,1132,2258,0.334,0.666
295,1507,12981,3723,9258,0.287,0.713
296,1510,13606,13601,5,1.0,0.0
297,1515,2183,1252,931,0.574,0.426
298,1516,8500,3463,5037,0.407,0.593
299,1518,2974,1919,1055,0.645,0.355
300,1519,6595,6146,449,0.932,0.068
301,1520,13997,12248,1749,0.875,0.125
302,1521,2481,0,2481,0.0,1.0
303,1522,3310,2272,1038,0.686,0.314
304,1523,7582,5175,2407,0.683,0.317
305,1524,6696,4776,1920,0.713,0.287
306,1525,290,290,0,1.0,0.0
307,1527,13246,12041,1205,0.909,0.091
308,1529,3190,2411,779,0.756,0.244
309,1531,999,0,999,0.0,1.0
310,1532,14155,13215,940,0.934,0.066
311,1534,5631,5021,610,0.892,0.108
312,1535,4680,2782,1898,0.594,0.406
313,1536,6888,6567,321,0.953,0.047
314,1537,2248,1724,524,0.767,0.233
315,1540,11291,8618,2673,0.763,0.237
316,1541,3413,0,3413,0.0,1.0
317,1542,2202,1762,440,0.8,0.2
318,1543,7973,3408,4565,0.427,0.573
319,1545,35299,35299,0,1.0,0.0
320,1550,16719,14656,2063,0.877,0.123
321,1560,4527,4527,0,1.0,0.0
322,1561,330,330,0,1.0,0.0
323,1562,11688,7727,3961,0.661,0.339
324,1564,7808,3107,4701,0.398,0.602
325,1566,6294,3212,3082,0.51,0.49
326,1568,7480,4308,3172,0.576,0.424
327,1569,13569,11052,2517,0.815,0.185
328,1570,16767,16276,491,0.971,0.029
329,1571,11390,9015,2375,0.791,0.209
330,1581,18272,17371,901,0.951,0.049
331,1583,7591,6702,889,0.883,0.117
332,1585,4554,1996,2558,0.438,0.562
333,1588,9733,9629,104,0.989,0.011
334,1590,8875,5439,3436,0.613,0.387
335,1602,22819,22819,0,1.0,0.0
336,1603,19916,19916,0,1.0,0.0
337,1604,34677,34677,0,1.0,0.0
338,1605,26221,26221,0,1.0,0.0
339,1606,19077,19077,0,1.0,0.0
340,1607,8351,8351,0,1.0,0.0
341,1608,3888,3888,0,1.0,0.0
342,1609,22421,22421,0,1.0,0.0
343,1610,23945,23945,0,1.0,0.0
344,1611,2242,1705,537,0.76,0.24
345,1612,4845,2130,2715,0.44,0.56
346,1701,31217,31217,0,1.0,0.0
347,1702,37206,37206,0,1.0,0.0
348,1718,469,469,0,1.0,0.0
349,1719,4996,4991,5,0.999,0.001
350,1720,21361,20147,1214,0.943,0.057
351,1721,16593,16346,247,0.985,0.015
352,1730,13221,13143,78,0.994,0.006
353,1731,1396,1396,0,1.0,0.0
354,1740,4897,285,4612,0.058,0.942
355,1741,4852,723,4129,0.149,0.851
356,1742,17726,15273,2453,0.862,0.138
357,1745,397,397,0,1.0,0.0
358,1746,13547,13016,531,0.961,0.039
359,1747,5911,5871,40,0.993,0.007
360,1748,14925,11693,3232,0.783,0.217
361,1749,19063,18690,373,0.98,0.02
362,1752,38499,38380,119,0.997,0.003
363,1754,10106,10048,58,0.994,0.006
364,1756,5839,2629,3210,0.45,0.55
365,1757,28061,27799,262,0.991,0.009
366,1760,32786,32384,402,0.988,0.012
367,1770,4119,1272,2847,0.309,0.691
368,1772,9370,9313,57,0.994,0.006
369,1773,5112,2749,2363,0.538,0.462
370,1775,6590,4096,2494,0.622,0.378
371,1776,17659,16703,956,0.946,0.054
372,1778,13109,12743,366,0.972,0.028
373,1801,38903,38903,0,1.0,0.0
374,1803,24487,24487,0,1.0,0.0
375,1810,33201,33201,0,1.0,0.0
376,1821,30310,30310,0,1.0,0.0
377,1824,24911,24911,0,1.0,0.0
378,1826,29422,28230,1192,0.959,0.041
379,1827,3179,486,2693,0.153,0.847
380,1830,25137,24681,456,0.982,0.018
381,1832,22060,22060,0,1.0,0.0
382,1833,8183,7397,786,0.904,0.096
383,1834,6459,5647,812,0.874,0.126
384,1835,13682,13510,172,0.987,0.013
385,1840,4733,4733,0,1.0,0.0
386,1841,47225,47225,0,1.0,0.0
387,1843,24425,24425,0,1.0,0.0
388,1844,47249,47247,2,1.0,0.0
389,1845,28352,27116,1236,0.956,0.044
390,1850,15237,15237,0,1.0,0.0
391,1851,30190,30190,0,1.0,0.0
392,1852,33508,33508,0,1.0,0.0
393,1854,27606,27606,0,1.0,0.0
394,1860,6338,5487,851,0.866,0.134
395,1862,10227,10185,42,0.996,0.004
396,1863,8891,8891,0,1.0,0.0
397,1864,14892,14892,0,1.0,0.0
398,1867,23956,23956,0,1.0,0.0
399,1876,28667,28667,0,1.0,0.0
400,1879,11305,10904,401,0.965,0.035
401,1880,24733,24733,0,1.0,0.0
402,1886,21951,21912,39,0.998,0.002
403,1887,22325,22325,0,1.0,0.0
404,1890,21382,21382,0,1.0,0.0
405,1901,1689,1689,0,1.0,0.0
406,1902,45139,45139,0,1.0,0.0
407,1904,18203,18203,0,1.0,0.0
408,1905,25251,25251,0,1.0,0.0
409,1906,26660,26660,0,1.0,0.0
410,1907,14027,14027,0,1.0,0.0
411,1908,3410,3410,0,1.0,0.0
412,1913,16283,16191,92,0.994,0.006
413,1915,39502,39233,269,0.993,0.007
414,1921,7961,3423,4538,0.43,0.57
415,1922,3108,1598,1510,0.514,0.486
416,1923,26342,26342,0,1.0,0.0
417,1929,3504,1978,1526,0.564,0.436
418,1930,28789,25397,3392,0.882,0.118
419,1937,151,151,0,1.0,0.0
420,1938,13175,9247,3928,0.702,0.298
421,1940,12108,12108,0,1.0,0.0
422,1944,5136,4237,899,0.825,0.175
423,1945,19808,19808,0,1.0,0.0
424,1949,8987,7952,1035,0.885,0.115
425,1950,17416,17413,3,1.0,0.0
426,1951,3558,2087,1471,0.587,0.413
427,1952,8283,7397,886,0.893,0.107
428,1960,50944,50944,0,1.0,0.0
429,1966,6952,6397,555,0.92,0.08
430,1969,5856,4418,1438,0.754,0.246
431,1970,41109,41109,0,1.0,0.0
432,1982,7764,6436,1328,0.829,0.171
433,1983,6089,5182,907,0.851,0.149
434,1984,4875,3847,1028,0.789,0.211
435,1985,4235,1815,2420,0.429,0.571
436,2019,16332,15744,588,0.964,0.036
437,2021,21561,21561,0,1.0,0.0
438,2025,7542,7221,321,0.957,0.043
439,2026,24711,24711,0,1.0,0.0
440,2030,5589,3911,1678,0.7,0.3
441,2032,4226,4226,0,1.0,0.0
442,2035,16865,16702,163,0.99,0.01
443,2038,31635,31369,266,0.992,0.008
444,2043,22157,21581,576,0.974,0.026
445,2045,10293,10292,1,1.0,0.0
446,2047,180,180,0,1.0,0.0
447,2048,23184,23184,0,1.0,0.0
448,2050,25429,23226,2203,0.913,0.087
449,2052,12024,11445,579,0.952,0.048
450,2053,12752,12714,38,0.997,0.003
451,2054,7891,6861,1030,0.869,0.131
452,2056,10981,10963,18,0.998,0.002
453,2061,10506,9458,1048,0.9,0.1
454,2062,28602,28602,0,1.0,0.0
455,2066,17656,16627,1029,0.942,0.058
456,2067,17486,16050,1436,0.918,0.082
457,2071,1707,1707,0,1.0,0.0
458,2072,26999,26999,0,1.0,0.0
459,2081,18472,18472,0,1.0,0.0
460,2090,14636,14442,194,0.987,0.013
461,2093,10955,9559,1396,0.873,0.127
462,2108,3825,3825,0,1.0,0.0
463,2109,3771,3771,0,1.0,0.0
464,2110,1733,1733,0,1.0,0.0
465,2111,7383,7383,0,1.0,0.0
466,2113,6915,6915,0,1.0,0.0
467,2114,11999,11999,0,1.0,0.0
468,2115,28441,28441,0,1.0,0.0
469,2116,20628,20628,0,1.0,0.0
470,2118,26498,26498,0,1.0,0.0
471,2119,25346,25346,0,1.0,0.0
472,2120,15181,15181,0,1.0,0.0
473,2121,25978,25978,0,1.0,0.0
474,2122,23479,22946,533,0.977,0.023
475,2124,47783,47783,0,1.0,0.0
476,2125,33295,33295,0,1.0,0.0
477,2126,25562,25562,0,1.0,0.0
478,2127,31799,31799,0,1.0,0.0
479,2128,40508,40508,0,1.0,0.0
480,2129,16439,16439,0,1.0,0.0
481,2130,35401,35401,0,1.0,0.0
482,2131,29826,29826,0,1.0,0.0
483,2132,25861,25861,0,1.0,0.0
484,2134,21503,21503,0,1.0,0.0
485,2135,42780,42780,0,1.0,0.0
486,2136,28488,28488,0,1.0,0.0
487,2138,36314,36314,0,1.0,0.0
488,2139,36349,36349,0,1.0,0.0
489,2140,17607,17607,0,1.0,0.0
490,2141,11910,11910,0,1.0,0.0
491,2142,3141,3141,0,1.0,0.0
492,2143,24514,24514,0,1.0,0.0
493,2144,23891,23891,0,1.0,0.0
494,2145,25439,25439,0,1.0,0.0
495,2148,59503,59503,0,1.0,0.0
496,2149,41550,41550,0,1.0,0.0
497,2150,35124,35124,0,1.0,0.0
498,2151,51808,51808,0,1.0,0.0
499,2152,17497,17497,0,1.0,0.0
500,2155,57964,57964,0,1.0,0.0
501,2163,2582,2582,0,1.0,0.0
502,2169,55055,55055,0,1.0,0.0
503,2170,19505,19505,0,1.0,0.0
504,2171,17711,17711,0,1.0,0.0
505,2176,26983,26983,0,1.0,0.0
506,2180,21437,21437,0,1.0,0.0
507,2184,35744,35744,0,1.0,0.0
508,2186,27003,27003,0,1.0,0.0
509,2188,14608,14608,0,1.0,0.0
510,2189,14559,14559,0,1.0,0.0
511,2190,16119,16119,0,1.0,0.0
512,2191,8457,8457,0,1.0,0.0
513,2199,1146,1146,0,1.0,0.0
514,2203,0,0,0,,
515,2210,2090,2090,0,1.0,0.0
516,2215,26125,26125,0,1.0,0.0
517,2301,61025,61025,0,1.0,0.0
518,2302,32741,32741,0,1.0,0.0
519,2322,4356,4356,0,1.0,0.0
520,2324,26563,25017,1546,0.942,0.058
521,2330,11509,8828,2681,0.767,0.233
522,2332,15059,14153,906,0.94,0.06
523,2333,13794,12940,854,0.938,0.062
524,2338,7518,5416,2102,0.72,0.28
525,2339,13879,13879,0,1.0,0.0
526,2341,10218,9167,1051,0.897,0.103
527,2343,10745,10745,0,1.0,0.0
528,2346,23106,12690,10416,0.549,0.451
529,2347,10612,5394,5218,0.508,0.492
530,2351,16029,16029,0,1.0,0.0
531,2356,12564,12131,433,0.966,0.034
532,2357,1360,1360,0,1.0,0.0
533,2359,17828,17309,519,0.971,0.029
534,2360,56271,50529,5742,0.898,0.102
535,2364,12629,11575,1054,0.917,0.083
536,2366,197,0,197,0.0,1.0
537,2367,2820,345,2475,0.122,0.878
538,2368,32158,32158,0,1.0,0.0
539,2370,17489,17489,0,1.0,0.0
540,2375,9188,8772,416,0.955,0.045
541,2379,6916,6357,559,0.919,0.081
542,2382,14489,14489,0,1.0,0.0
543,2420,14052,14052,0,1.0,0.0
544,2421,17342,17342,0,1.0,0.0
545,2445,20679,20679,0,1.0,0.0
546,2446,29311,29311,0,1.0,0.0
547,2451,17426,17426,0,1.0,0.0
548,2452,14238,14238,0,1.0,0.0
549,2453,28968,28968,0,1.0,0.0
550,2457,1432,1432,0,1.0,0.0
551,2458,12131,12131,0,1.0,0.0
552,2459,19095,19095,0,1.0,0.0
553,2460,8742,8742,0,1.0,0.0
554,2461,7059,7059,0,1.0,0.0
555,2462,1554,1554,0,1.0,0.0
556,2464,2953,2953,0,1.0,0.0
557,2465,11710,11710,0,1.0,0.0
558,2466,8096,8096,0,1.0,0.0
559,2467,22491,22491,0,1.0,0.0
560,2468,5273,5273,0,1.0,0.0
561,2472,32014,32014,0,1.0,0.0
562,2474,26312,26312,0,1.0,0.0
563,2476,16532,16532,0,1.0,0.0
564,2478,24664,24664,0,1.0,0.0
565,2481,16244,16244,0,1.0,0.0
566,2482,10306,10306,0,1.0,0.0
567,2492,19931,19931,0,1.0,0.0
568,2493,11261,11261,0,1.0,0.0
569,2494,8955,8955,0,1.0,0.0
570,2532,12690,11439,1251,0.901,0.099
571,2534,842,626,216,0.743,0.257
572,2535,1177,0,1177,0.0,1.0
573,2536,19583,18186,1397,0.929,0.071
574,2537,6293,6056,237,0.962,0.038
575,2538,3603,3221,382,0.894,0.106
576,2539,4067,2795,1272,0.687,0.313
577,2540,8221,8086,135,0.984,0.016
578,2542,1139,1034,105,0.908,0.092
579,2543,635,612,23,0.964,0.036
580,2553,226,209,17,0.925,0.075
581,2554,9852,8250,1602,0.837,0.163
582,2556,3115,3115,0,1.0,0.0
583,2557,4491,3872,619,0.862,0.138
584,2558,2156,2151,5,0.998,0.002
585,2559,3376,3298,78,0.977,0.023
586,2561,539,539,0,1.0,0.0
587,2562,2977,2912,65,0.978,0.022
588,2563,10359,10321,38,0.996,0.004
589,2564,310,0,310,0.0,1.0
590,2568,4000,3415,585,0.854,0.146
591,2571,10481,9703,778,0.926,0.074
592,2575,2725,0,2725,0.0,1.0
593,2576,3754,3110,644,0.828,0.172
594,2584,10,0,10,0.0,1.0
595,2601,14089,14089,0,1.0,0.0
596,2630,1850,1582,268,0.855,0.145
597,2631,9679,7965,1714,0.823,0.177
598,2632,10742,10713,29,0.997,0.003
599,2633,3884,3710,174,0.955,0.045
600,2635,3296,3035,261,0.921,0.079
601,2637,253,185,68,0.731,0.269
602,2638,3207,2926,281,0.912,0.088
603,2639,2875,2875,0,1.0,0.0
604,2641,532,197,335,0.37,0.63
605,2642,4937,4658,279,0.943,0.057
606,2643,26,26,0,1.0,0.0
607,2644,3955,3954,1,1.0,0.0
608,2645,9663,8989,674,0.93,0.07
609,2646,1676,1676,0,1.0,0.0
610,2647,129,129,0,1.0,0.0
611,2648,7301,7126,175,0.976,0.024
612,2649,14006,13341,665,0.953,0.047
613,2650,848,788,60,0.929,0.071
614,2651,16,4,12,0.25,0.75
615,2652,1175,385,790,0.328,0.672
616,2653,5911,4947,964,0.837,0.163
617,2655,3518,2840,678,0.807,0.193
618,2657,2942,2767,175,0.941,0.059
619,2659,1108,1103,5,0.995,0.005
620,2660,6261,6139,122,0.981,0.019
621,2663,173,99,74,0.572,0.428
622,2664,9371,9371,0,1.0,0.0
623,2666,828,0,828,0.0,1.0
624,2667,2580,470,2110,0.182,0.818
625,2668,3278,2508,770,0.765,0.235
626,2669,285,237,48,0.832,0.168
627,2670,1307,1307,0,1.0,0.0
628,2671,1023,1023,0,1.0,0.0
629,2672,180,180,0,1.0,0.0
630,2673,8402,8127,275,0.967,0.033
631,2675,6577,5748,829,0.874,0.126
632,2702,4125,3097,1028,0.751,0.249
633,2703,43593,43593,0,1.0,0.0
634,2713,52,0,52,0.0,1.0
635,2715,3123,1224,1899,0.392,0.608
636,2717,4745,2136,2609,0.45,0.55
637,2718,6655,6278,377,0.943,0.057
638,2719,15873,15350,523,0.967,0.033
639,2720,30287,30074,213,0.993,0.007
640,2721,26290,26290,0,1.0,0.0
641,2723,14767,14767,0,1.0,0.0
642,2724,16908,16908,0,1.0,0.0
643,2725,2631,2631,0,1.0,0.0
644,2726,15534,15534,0,1.0,0.0
645,2738,4907,3909,998,0.797,0.203
646,2739,6045,2885,3160,0.477,0.523
647,2740,43087,43087,0,1.0,0.0
648,2743,10307,6461,3846,0.627,0.373
649,2744,11900,11900,0,1.0,0.0
650,2745,24576,24437,139,0.994,0.006
651,2746,15342,15342,0,1.0,0.0
652,2747,22927,16996,5931,0.741,0.259
653,2748,11442,9224,2218,0.806,0.194
654,2760,26739,26739,0,1.0,0.0
655,2762,8264,7650,614,0.926,0.074
656,2763,1973,1973,0,1.0,0.0
657,2764,3988,1973,2015,0.495,0.505
658,2766,19031,16080,2951,0.845,0.155
659,2767,13566,12991,575,0.958,0.042
660,2769,11608,1505,10103,0.13,0.87
661,2770,5093,270,4823,0.053,0.947
662,2771,13708,12544,1164,0.915,0.085
663,2777,15840,12669,3171,0.8,0.2
664,2779,6411,2777,3634,0.433,0.567
665,2780,49036,46327,2709,0.945,0.055
666,2790,15717,7997,7720,0.509,0.491
667,2791,246,0,246,0.0,1.0
668,2802,786,786,0,1.0,0.0
669,2804,2607,1352,1255,0.519,0.481
670,2806,16310,16310,0,1.0,0.0
671,2807,1051,0,1051,0.0,1.0
672,2808,2401,0,2401,0.0,1.0
673,2809,22938,22792,146,0.994,0.006
674,2812,1497,0,1497,0.0,1.0
675,2813,7831,1571,6260,0.201,0.799
676,2814,7496,541,6955,0.072,0.928
677,2815,278,0,278,0.0,1.0
678,2816,32611,28054,4557,0.86,0.14
679,2817,6135,1554,4581,0.253,0.747
680,2818,18082,16120,1962,0.891,0.109
681,2822,6111,1556,4555,0.255,0.745
682,2825,5377,0,5377,0.0,1.0
683,2826,791,499,292,0.631,0.369
684,2827,2172,0,2172,0.0,1.0
685,2828,7704,7669,35,0.995,0.005
686,2830,5976,3325,2651,0.556,0.444
687,2831,3515,1983,1532,0.564,0.436
688,2832,4608,0,4608,0.0,1.0
689,2833,784,0,784,0.0,1.0
690,2835,5405,4948,457,0.915,0.085
691,2836,136,0,136,0.0,1.0
692,2837,3492,0,3492,0.0,1.0
693,2838,3400,3400,0,1.0,0.0
694,2839,1902,1327,575,0.698,0.302
695,2840,23335,23004,331,0.986,0.014
696,2841,1392,1392,0,1.0,0.0
697,2842,16095,15699,396,0.975,0.025
698,2852,22551,21942,609,0.973,0.027
699,2857,8412,1881,6531,0.224,0.776
700,2858,570,558,12,0.979,0.021
701,2859,6738,3883,2855,0.576,0.424
702,2860,45199,45199,0,1.0,0.0
703,2861,26178,26178,0,1.0,0.0
704,2863,19385,19385,0,1.0,0.0
705,2864,33396,31035,2361,0.929,0.071
706,2865,16951,16933,18,0.999,0.001
707,2871,17171,16630,541,0.968,0.032
708,2872,218,0,218,0.0,1.0
709,2873,235,0,235,0.0,1.0
710,2874,5860,3923,1937,0.669,0.331
711,2875,307,0,307,0.0,1.0
712,2876,430,430,0,1.0,0.0
713,2878,15780,11192,4588,0.709,0.291
714,2879,20371,15430,4941,0.757,0.243
715,2881,7841,7477,364,0.954,0.046
716,2882,14184,14170,14,0.999,0.001
717,2885,10627,10203,424,0.96,0.04
718,2886,29269,29269,0,1.0,0.0
719,2888,19912,19912,0,1.0,0.0
720,2889,28217,28217,0,1.0,0.0
721,2891,21198,19771,1427,0.933,0.067
722,2892,4988,648,4340,0.13,0.87
723,2893,29630,29630,0,1.0,0.0
724,2894,722,0,722,0.0,1.0
725,2895,41186,41186,0,1.0,0.0
726,2896,11537,9703,1834,0.841,0.159
727,2898,1696,0,1696,0.0,1.0
728,2903,10780,10780,0,1.0,0.0
729,2904,29359,29359,0,1.0,0.0
730,2905,25223,25223,0,1.0,0.0
731,2906,28387,28387,0,1.0,0.0
732,2907,27445,27445,0,1.0,0.0
733,2908,37467,37467,0,1.0,0.0
734,2909,43540,43540,0,1.0,0.0
735,2910,21000,21000,0,1.0,0.0
736,2911,15574,15574,0,1.0,0.0
737,2912,1370,1370,0,1.0,0.0
738,2914,21963,21963,0,1.0,0.0
739,2915,16897,16897,0,1.0,0.0
740,2916,8139,8139,0,1.0,0.0
741,2917,13762,12679,1083,0.921,0.079
742,2919,28790,27467,1323,0.954,0.046
743,2920,37547,37547,0,1.0,0.0
744,2921,12361,11553,808,0.935,0.065
745,3031,11247,6332,4915,0.563,0.437
746,3032,4953,1368,3585,0.276,0.724
747,3033,4987,0,4987,0.0,1.0
748,3034,3970,15,3955,0.004,0.996
749,3036,4782,730,4052,0.153,0.847
750,3037,4219,0,4219,0.0,1.0
751,3038,33269,30111,3158,0.905,0.095
752,3042,6341,3158,3183,0.498,0.502
753,3043,1573,0,1573,0.0,1.0
754,3044,4263,665,3598,0.156,0.844
755,3045,13560,8287,5273,0.611,0.389
756,3046,2758,0,2758,0.0,1.0
757,3047,1767,0,1767,0.0,1.0
758,3048,3426,0,3426,0.0,1.0
759,3049,7688,1059,6629,0.138,0.862
760,3051,24480,23204,1276,0.948,0.052
761,3052,8258,5647,2611,0.684,0.316
762,3053,23957,21475,2482,0.896,0.104
763,3054,25477,22474,3003,0.882,0.118
764,3055,15086,12164,2922,0.806,0.194
765,3057,2500,157,2343,0.063,0.937
766,3060,29357,29357,0,1.0,0.0
767,3062,26694,25967,727,0.973,0.027
768,3063,16216,16197,19,0.999,0.001
769,3064,14227,14227,0,1.0,0.0
770,3070,5254,0,5254,0.0,1.0
771,3071,5109,0,5109,0.0,1.0
772,3076,12897,9466,3431,0.734,0.266
773,3077,10155,4611,5544,0.454,0.546
774,3079,28776,28450,326,0.989,0.011
775,3082,1615,0,1615,0.0,1.0
776,3084,1366,0,1366,0.0,1.0
777,3086,3728,1197,2531,0.321,0.679
778,3087,13592,10511,3081,0.773,0.227
779,3101,3049,3049,0,1.0,0.0
780,3102,31096,31096,0,1.0,0.0
781,3103,36476,36476,0,1.0,0.0
782,3104,32798,32798,0,1.0,0.0
783,3106,13374,9608,3766,0.718,0.282
784,3109,10314,9781,533,0.948,0.052
785,3110,21203,19896,1307,0.938,0.062
786,3215,247,0,247,0.0,1.0
787,3216,2159,0,2159,0.0,1.0
788,3217,2076,44,2032,0.021,0.979
789,3218,960,0,960,0.0,1.0
790,3220,7430,1270,6160,0.171,0.829
791,3221,2091,0,2091,0.0,1.0
792,3222,5353,0,5353,0.0,1.0
793,3223,3427,137,3290,0.04,0.96
794,3224,2318,0,2318,0.0,1.0
795,3225,3660,0,3660,0.0,1.0
796,3226,1117,0,1117,0.0,1.0
797,3227,925,0,925,0.0,1.0
798,3229,5589,0,5589,0.0,1.0
799,3230,1231,0,1231,0.0,1.0
800,3231,202,0,202,0.0,1.0
801,3233,115,0,115,0.0,1.0
802,3234,4572,0,4572,0.0,1.0
803,3235,8562,6295,2267,0.735,0.265
804,3237,2254,0,2254,0.0,1.0
805,3238,75,0,75,0.0,1.0
806,3240,1340,0,1340,0.0,1.0
807,3241,876,0,876,0.0,1.0
808,3242,4836,0,4836,0.0,1.0
809,3243,1085,0,1085,0.0,1.0
